event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
ARRIVAL,,,,0,,,false,,,2023-05-27 02:23:00,false,AUTOMATIC,MFJ,,09,false,424L26CX26,true,OFF ROUTE,54606070,09,51130,,,,ARRIVAL,,
ARRIVAL,,,2023-05-27 04:24:00,1,,,false,1,00000,2023-05-27 04:25:00,false,AUTOMATIC,,,30,false,525I26M427,false,LATE,22216001,30,52078,true,,,ARRIVAL,52088,
DEPARTURE,,,2023-05-27 02:24:30,3,,,true,5,73663,2023-05-27 02:21:00,false,AUTOMATIC,MF9, 1,05,false,366O461Z26,false,EARLY,56609010,05,73663,true,DOWN,DOWN,DEPARTURE,73775,M
ARRIVAL,2023-05-27 01:05:00,,2023-05-27 01:05:00,77,,,false,1,00000,2023-05-27 02:22:00,false,AUTOMATIC,MM5,,54,false,724O342926,false,LATE,55460180,54,74250,true,DOWN,DOWN,ARRIVAL,74265,U
DEPARTURE,,,2023-05-27 02:45:00,23,,,true,12,12112,2023-05-27 02:22:00,false,AUTOMATIC,M7W, 2,35,false,721S25M726,false,EARLY,23558003,35,12112,true,DOWN,DOWN,DEPARTURE,12106,M
ARRIVAL,2023-05-27 02:24:00,,2023-05-27 02:23:30,0,,,false,1,00000,2023-05-27 02:23:00,false,AUTOMATIC,, 2,88,false,541P00M127,false,ON TIME,22727100,88,53201,true,DOWN,DOWN,ARRIVAL,45611,
DEPARTURE,,,2023-05-27 02:00:00,21,,,true,2,89144,2023-05-27 02:21:00,false,AUTOMATIC,MIM, 1,05,false,886X311826,false,LATE,53790125,05,89144,true,UP,UP,DEPARTURE,89139,
DEPARTURE,,,2023-05-27 02:46:30,25,,,true,18,12132,2023-05-27 02:21:00,false,AUTOMATIC,LZW, 2,09,false,514S831W26,false,EARLY,54606070,09,12132,true,DOWN,DOWN,DEPARTURE,12112,F
DEPARTURE,,,2023-05-27 02:25:00,4,,,true,2,73255,2023-05-27 02:21:00,false,AUTOMATIC,MNU, 4,09,false,864L802027,false,EARLY,54606070,09,73255,true,UP,UP,DEPARTURE,73251,U
DEPARTURE,,,2023-05-27 02:22:30,0,,,false,2,00000,2023-05-27 02:22:00,false,AUTOMATIC,,,88,false,629W05M127,false,ON TIME,22720000,88,63547,true,UP,UP,DEPARTURE,63551,S
DEPARTURE,,,2023-05-27 03:09:30,47,,,true,5,52045,2023-05-27 02:22:00,false,AUTOMATIC,MFD,,09,false,664L77C826,false,EARLY,54606070,09,52045,true,DOWN,DOWN,DEPARTURE,52038,D
